latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.435852,77.01136,228,19800,Asia/Kolkata,GMT+5:30
,,,,,
time,temperature_2m (°C),precipitation (mm),wind_speed_10m (km/h),relative_humidity_2m (%),
2015-11-01T00:00,18.8,0,7.4,84,
2015-11-01T01:00,18.4,0,7.9,86,
2015-11-01T02:00,18,0,8.4,88,
2015-11-01T03:00,18,0,7.1,88,
2015-11-01T04:00,18.2,0,5.5,86,
2015-11-01T05:00,17.9,0,4.1,87,
2015-11-01T06:00,17.5,0,4,89,
2015-11-01T07:00,18.8,0,4,85,
2015-11-01T08:00,21.9,0,2.7,72,
2015-11-01T09:00,24.7,0,3.7,60,
2015-11-01T10:00,26.6,0,5.4,51,
2015-11-01T11:00,27.7,0,5.8,46,
2015-11-01T12:00,28.6,0,5.2,44,
2015-11-01T13:00,29.2,0,5.6,41,
2015-11-01T14:00,29.5,0,5.7,40,
2015-11-01T15:00,29.4,0,4.2,39,
2015-11-01T16:00,28.9,0,3.7,40,
2015-11-01T17:00,27.7,0,4.5,45,
2015-11-01T18:00,26,0,4.7,51,
2015-11-01T19:00,24.1,0,5.2,59,
2015-11-01T20:00,22.7,0,5.6,65,
2015-11-01T21:00,21.8,0,5.5,68,
2015-11-01T22:00,21.3,0,4.8,70,
2015-11-01T23:00,21.1,0,3.4,70,
2015-11-02T00:00,22.1,0,3.8,67,
2015-11-02T01:00,19.3,0,5.9,81,
2015-11-02T02:00,18.6,0,6.1,85,
2015-11-02T03:00,18.1,0,5.9,88,
2015-11-02T04:00,17.8,0,5.4,89,
2015-11-02T05:00,17.4,0,5.1,90,
2015-11-02T06:00,17.2,0,5.2,91,
2015-11-02T07:00,18.2,0,7,88,
2015-11-02T08:00,22.6,0,4.7,67,
2015-11-02T09:00,25.7,0,5.5,54,
2015-11-02T10:00,27.5,0,5.3,48,
2015-11-02T11:00,28.5,0,4.7,44,
2015-11-02T12:00,28.9,0,3.7,44,
2015-11-02T13:00,29.2,0,2.9,43,
2015-11-02T14:00,29.3,0,2.6,42,
2015-11-02T15:00,29.2,0,1.5,42,
2015-11-02T16:00,28.8,0,1.6,42,
2015-11-02T17:00,27.8,0,2.9,47,
2015-11-02T18:00,26.3,0,4,58,
2015-11-02T19:00,25.3,0,5,58,
2015-11-02T20:00,24.8,0,6,58,
2015-11-02T21:00,24.1,0,6.3,61,
2015-11-02T22:00,23.3,0,7,64,
2015-11-02T23:00,22.1,0,6,69,
2015-11-03T00:00,20.1,0,6.6,80,
2015-11-03T01:00,19.6,0,6.6,81,
2015-11-03T02:00,19.3,0,6.4,83,
2015-11-03T03:00,18.9,0,5.8,84,
2015-11-03T04:00,18.6,0,5.6,86,
2015-11-03T05:00,18.2,0,5,88,
2015-11-03T06:00,17.8,0,5.4,91,
2015-11-03T07:00,19.1,0,5.2,86,
2015-11-03T08:00,22.1,0,3.7,71,
2015-11-03T09:00,24.5,0,3.6,61,
2015-11-03T10:00,25.9,0,2.3,55,
2015-11-03T11:00,27.2,0,3.1,51,
2015-11-03T12:00,27.9,0,5.1,50,
2015-11-03T13:00,28.2,0,6.2,48,
2015-11-03T14:00,28.4,0,6.4,46,
2015-11-03T15:00,28.1,0,9.4,45,
2015-11-03T16:00,27.7,0,7.6,45,
2015-11-03T17:00,26.7,0,6.9,49,
2015-11-03T18:00,25.5,0,3.9,56,
2015-11-03T19:00,23.7,0,1.8,62,
2015-11-03T20:00,22.6,0,2.8,65,
2015-11-03T21:00,21.9,0,4.6,69,
2015-11-03T22:00,21.8,0,7.1,69,
2015-11-03T23:00,21,0,6.2,73,
2015-11-04T00:00,19.9,0,6.6,77,
2015-11-04T01:00,19.3,0,5.8,79,
2015-11-04T02:00,18.7,0,6.8,82,
2015-11-04T03:00,19.1,0,5.2,80,
2015-11-04T04:00,19.4,0,2.5,78,
2015-11-04T05:00,19.2,0,1.5,80,
2015-11-04T06:00,18.9,0,1.8,81,
2015-11-04T07:00,19.2,0,2.5,81,
2015-11-04T08:00,22.3,0,3.2,68,
2015-11-04T09:00,25.3,0,4.2,55,
2015-11-04T10:00,27.3,0,4.9,49,
2015-11-04T11:00,28.6,0,4,46,
2015-11-04T12:00,29,0,2.7,45,
2015-11-04T13:00,29.2,0,1.5,42,
2015-11-04T14:00,29.3,0,0.7,41,
2015-11-04T15:00,29.3,0,2.6,40,
2015-11-04T16:00,28.9,0,3.8,41,
2015-11-04T17:00,27.4,0,6.8,48,
2015-11-04T18:00,25.5,0,7.6,55,
2015-11-04T19:00,24.4,0,8.7,59,
